,Warehouse,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CQ,CR,CS,CT,CU,CV,CW,CX,CY,CZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB,3718,4545,1067,809,4945,176,2848,1166,4248,4109,1950,3443,1768,118,2912,699,2805,3063,4138,4151,4051,1791,716,3563,2603,4309,4080,2534,0,1567,3459,4600,2478,3996,4905,4736,3392,4100,3170,3893,1171,1704,2099,3846,3915,3123,2133,3705,3643,435,1864,1850,3853,970,4988,3628,2762,3478,3308,1770,4874,1785,309,1490,1878,4205,844,4312,4033,3481,2946,62,4239,982,843,255,4900,3032,910,21,4335,171,4505,4394,3996,2930,3561,3819,1654,188,964,482,2266,3483,4384,3372,2196,3389,1391,1452,4464,365,3744,1870,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,2734,393,5000,346,2253,1541,2324,689,318,935,3161,690,3322,3122,4248,25,244,253,4024,3682,2093,2681,856,2808,3729,3118,2664,605,2214,0,3016,2075,2192,3108,4048,2410,854,437,782,1567,722,4675,2547,717,206,3862,4148,4060,884,2268,2556,2302,1679,4230,1270,3804,693,3980,2524,4809,2688,3203,2038,2261,3910,3285,1303,1160,3371,309,3579,1166,2589,2333,2507,3459,1462,182,4581,2717,4091,2253,2633,3278,3548,2122,3738,3200,3260,476,2328,401,1221,629,4168,1688,757,779,2441,2511,2226,1665,1270,918,818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD,2912,3522,607,1710,4939,4833,1831,3252,4552,4846,258,2763,1411,736,4037,1154,4803,4834,810,3399,3241,2950,807,795,2416,4877,4651,1688,657,2157,0,4146,4929,2870,3894,3146,14,1865,3245,181,1450,1301,3424,2194,4427,73,1989,4106,3880,4278,1606,779,3285,4029,516,1856,4321,4774,4471,3916,353,696,4121,2800,559,1825,1227,130,2491,47,4173,4640,2616,220,4954,182,4649,3054,3686,4395,2099,1480,558,712,919,3661,246,2860,769,4918,1180,4077,1139,191,3087,2781,4759,4199,1428,49,1477,4819,2901,4952,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE,4450,815,3530,3803,945,1089,2875,2986,1026,4286,2535,3373,2611,872,1358,900,1346,2748,2926,3828,3064,4130,188,3780,1032,1017,3608,2302,93,3296,2174,0,1254,191,406,1825,2637,4829,4322,4380,2213,1412,2421,1542,1114,3991,2577,1354,669,3394,4750,3462,3481,1513,3805,2287,3383,2542,705,3165,4526,3382,3810,3083,3987,2521,4900,355,4306,1879,2710,1029,4487,3121,11,4737,27,3810,3311,11,444,4335,3400,2881,2259,1488,1872,2635,4140,4562,427,1885,1516,1285,3477,429,2668,1740,883,4758,4269,4049,1913,2888,4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF,4116,2097,3767,3584,1657,2162,2006,625,2780,427,2008,949,4311,4482,2075,2366,1790,4361,1591,4933,1746,4358,351,455,1952,3393,1286,217,3819,1023,2313,3727,0,593,687,1198,3440,1284,2434,3138,1793,901,1812,3241,3331,2374,3283,1090,3178,1098,4726,3695,2552,766,3904,894,359,2698,3054,4580,1595,865,954,2260,3936,1994,555,4531,3459,2424,444,2509,480,4521,957,2009,3990,518,361,3548,1303,1080,94,1874,3028,2411,1513,2761,305,3731,3186,238,2564,614,321,172,4019,3992,1467,585,1032,4063,158,555,2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG,985,1909,2100,1097,4340,1121,3619,1489,394,737,2086,248,2894,501,4734,3326,1636,1606,3473,3479,882,4683,699,1714,4036,1862,24,1835,2383,4522,789,2549,1115,0,4337,2463,4261,3569,4808,1127,145,1891,2384,2679,1997,1016,3281,4769,3326,870,14,148,1857,4558,928,4313,2286,2133,3917,1201,175,513,4622,2638,2763,2852,1223,2418,1701,2976,4308,761,2355,78,2547,3354,4332,1544,1493,2924,4978,2031,3308,1127,1024,1954,1283,4512,1629,4728,2045,447,2310,4745,1350,4167,1952,3700,373,4897,2405,4815,3324,1598,4311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AH,3479,4540,4305,3341,227,3467,1886,2698,68,714,2021,4934,1388,575,1140,953,2481,938,2666,1319,848,1429,1175,4615,926,2694,258,3433,3908,2037,3301,2808,3867,4507,0,2821,3483,4410,3066,4487,4745,3706,4761,2288,2314,584,1344,2605,3758,3471,1954,441,1211,2835,4955,4419,1177,3918,2678,3431,4423,3193,2608,4835,3225,2881,3836,4991,0,2781,792,393,4852,3677,1327,162,4107,577,4900,973,2381,980,1851,240,4374,1920,2770,4982,4595,2018,3728,2910,1569,4096,3280,3539,2767,2130,1190,797,2397,334,4626,3998,4842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,74,382,2281,1182,3491,4013,1487,4067,2606,1257,3434,2679,2250,4788,1899,556,1588,736,1263,2288,3207,2111,887,433,2334,4829,3972,3133,2531,1266,1679,1095,7,73,4907,0,2600,4907,4382,2037,4479,3140,4535,4193,308,1882,1786,778,2997,4807,3884,3757,4174,2747,1007,3454,2273,1914,837,210,3563,1347,173,4818,3917,2174,2650,3481,4971,3697,3489,4163,1663,680,2216,1945,1040,2375,4826,536,1604,835,1467,4092,453,3177,3728,588,3294,183,593,1880,3971,236,2363,1596,844,4684,2418,2996,4022,513,4173,160,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ,1200,2028,3393,1541,1720,2070,3287,3358,1522,1981,1793,1762,867,3783,3950,1141,4431,3303,4463,2162,4296,195,540,2778,1713,1916,2866,2803,614,2312,578,3099,344,4792,4346,4120,0,4587,1587,443,3979,3088,1480,3671,4448,2638,836,2863,1710,700,1180,2802,3937,478,2156,2312,1410,3023,0,2178,1224,3204,1712,3052,3061,1009,601,1755,3577,2366,3396,3829,1121,1129,4524,3475,4919,2828,1503,2665,3194,1358,2044,3332,2027,3812,937,3176,3205,2224,1755,915,3675,343,2181,3085,1413,1419,4345,2798,4261,1021,3807,2803,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,4770,822,2345,4437,3198,2262,2689,3275,3661,3104,1065,3635,368,4312,3081,2219,450,4426,367,4492,420,4170,4597,4642,1606,4517,771,206,1837,98,682,4162,174,1945,1663,2115,1560,0,2175,794,2017,3662,4642,1401,3349,2302,188,4408,2804,3844,4130,631,4311,1924,1961,3966,4323,2120,4264,2229,3318,4271,4219,1180,2289,4656,4786,384,4258,247,1287,4499,2240,3270,4953,4036,3406,1760,1485,1450,1564,1758,4631,2507,1232,1341,1108,865,1644,1578,1862,2098,2169,2781,4683,3881,3300,1980,3499,2492,4132,3111,4273,4019,2446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,1704,1003,3719,2758,2060,1710,4939,1427,1120,273,962,1808,666,4853,1712,3942,634,2122,4305,219,4543,4218,2449,2264,479,1569,314,1272,591,3929,4391,2971,406,2745,3378,4380,2951,513,0,4989,1846,4766,3015,4549,401,4182,3794,1272,3952,3519,2634,426,3520,4692,2900,3277,4623,4176,795,3766,1285,1783,2601,4932,3043,1004,3144,3095,3540,604,2249,398,2649,3828,3039,1688,4339,2774,2954,3401,905,1050,530,80,2213,158,2241,4758,2920,1020,1671,308,2491,1463,3934,980,1753,2195,2323,2190,4024,2535,222,731,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,425,2447,3127,1310,339,1896,3972,1727,668,1737,4224,834,3992,288,1586,3847,1379,4741,924,218,2475,4066,3561,2465,2119,2839,4800,413,2476,4959,132,233,4726,3878,2792,4388,2657,1069,1586,0,353,876,2583,1176,4005,3720,4603,4759,4328,4814,1437,1354,245,1609,3689,1501,2954,323,2009,1040,1702,3245,2315,3759,4847,86,4280,1984,3993,2022,262,3259,1939,1047,2689,170,3986,2138,3794,4802,756,3315,1315,2109,1630,4606,2055,2403,4045,51,2408,3051,1178,1948,3726,3198,4767,2221,4509,3105,931,2497,2381,517,1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN,965,253,1036,187,355,3832,2692,2554,4424,4208,3863,1923,207,2236,3297,4654,4516,505,2225,1682,2985,2577,948,821,3628,1202,4765,3137,352,3590,165,2282,61,2608,3868,3800,3377,1608,4506,3715,0,973,2050,2362,934,1334,8,3985,3664,2224,4606,3040,3381,1403,1626,1897,792,993,4877,1365,3490,2774,931,6,2582,491,299,3996,1268,3838,2541,257,3169,1915,1324,426,2562,4279,1523,1336,543,3838,3895,3489,3684,1429,3480,957,2978,482,4518,2192,1220,1541,4675,1581,679,440,2374,4290,2483,4234,1470,1490,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO,4910,3349,2372,2846,217,2114,2819,2287,2772,3284,3947,2223,1264,1518,2250,2563,1497,1303,2827,160,4494,4793,644,219,4853,4456,3706,3010,272,363,418,2715,2616,3237,1916,1327,2153,319,2830,3691,819,0,1296,1011,982,1779,477,686,4836,2287,3562,4224,4553,2147,4406,3270,482,1444,3323,1773,101,4080,4669,4132,1714,4653,1255,1344,313,2092,2653,2322,982,2372,1266,4480,1937,3498,1949,3971,4697,2884,1885,822,1959,2613,4005,3253,2375,4458,3378,4719,3314,4724,3642,4541,4660,1839,3035,4075,4655,4933,3179,221,4776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,4166,962,2037,4774,3901,2984,2641,4490,3157,2836,4472,1351,2070,2365,1788,4914,3836,1644,1187,4243,1194,927,1238,4514,4402,2820,1334,3986,4582,1740,614,1722,3051,4997,137,2416,1009,1016,386,4565,4081,2024,0,4046,3820,4743,1571,3731,3930,2981,909,3090,4453,665,4193,3150,2490,2841,3542,2680,1974,823,3724,1922,1260,4233,415,2476,4428,764,2646,2874,368,4437,430,2864,2308,284,232,1930,4398,2501,942,539,1764,4907,1499,4951,1016,2907,3353,2615,326,4535,417,209,3490,974,342,1064,717,934,4285,4796,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ,1996,1584,3134,244,4899,1812,1611,3854,2606,2960,4551,206,2872,2512,4743,2024,3737,3146,4870,2052,1365,523,3465,1976,1449,1242,1827,1179,4095,3569,4261,797,1840,2267,2327,10,4077,3239,1536,683,2427,2008,3064,0,1494,4134,1589,1110,2493,3666,1880,192,2823,554,448,3628,4721,1464,2470,2768,2257,4057,3343,689,4645,4697,2564,62,2238,3213,1184,2366,4427,428,2329,542,2344,415,758,2641,2392,1182,4195,4912,1312,325,4939,910,509,3378,3197,4286,3309,3142,1209,1876,582,2001,1234,377,2986,309,946,4509,3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,3273,2064,3756,3987,3686,910,4514,2747,1461,219,4600,1679,3449,687,654,4604,4955,3761,4130,4268,3007,844,3051,1942,3323,1594,3146,4416,806,4988,4379,3711,2389,3659,466,2704,759,4528,2674,2694,3859,3689,3273,1139,0,4672,478,3841,4899,2833,4989,3221,2178,1768,4534,1991,475,2123,3723,773,751,2910,2625,23,4059,54,3809,1330,3991,3391,561,3956,2353,1220,3918,985,4333,4147,4610,1010,2643,3666,2340,3052,4116,3265,4747,2094,1788,2607,3337,3948,543,3774,1523,1787,4498,120,745,2066,196,3549,3890,2991,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,3662,1131,1735,77,4205,2738,1689,1075,2122,1378,844,4970,517,709,3737,2956,31,2570,3358,1883,4574,2409,1789,3402,3335,4430,380,3281,379,3727,3086,3773,4041,1773,4863,143,240,4455,2217,4989,3534,2089,3596,663,4615,0,3619,2487,466,1261,4419,1542,2172,1384,690,4378,2554,3596,1093,1106,4968,4372,282,3727,2518,2478,297,1711,2092,1459,2933,6,1140,3614,3049,2554,15,2649,1213,1634,134,1202,1959,364,1706,4737,3030,3679,3533,4675,804,2209,1675,670,4812,4446,2221,884,1632,4245,3256,2039,3279,553,4233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT,373,1296,729,423,2163,4284,2160,3155,879,4626,3081,693,3002,1763,2990,1937,93,169,1217,418,3635,2856,3311,2165,2219,3662,4675,4038,4763,2385,494,3484,2845,3767,2463,1308,1803,4983,3345,2721,1957,2876,4931,373,786,768,0,495,2378,4345,2487,2090,231,3926,2909,4439,913,4894,700,4610,2230,433,191,81,4466,4311,1998,2273,949,1407,146,4936,3866,2147,286,3514,23,4466,1563,1210,532,1524,3347,1224,2769,4215,56,795,632,156,4009,3887,882,4686,391,3128,3501,4845,2774,449,3893,4144,630,599,3090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU,2706,4411,687,3260,2954,4244,1655,4981,4716,2073,1246,2977,3166,412,2137,561,1534,4213,4538,811,1034,4521,3312,3322,4961,3930,3010,3536,4463,1026,2267,2858,483,2788,4955,1292,144,1025,1178,1910,2425,4125,1502,3768,1984,2207,4076,0,2473,3781,4430,3560,631,4275,4954,4960,368,3210,2210,1997,3644,2297,2470,538,3195,3567,4270,501,3716,493,4361,3972,4736,3478,2612,3794,2488,1139,4579,438,1649,1739,65,333,658,2337,2260,1833,4473,478,3224,1113,1192,664,654,2516,1860,142,4947,864,1631,37,1374,4259,4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV,345,4002,4566,4781,422,2799,642,480,2344,187,2592,336,751,3459,4952,150,4041,244,395,2398,4418,3343,4149,732,4121,655,4446,4836,1744,417,3593,2125,133,2417,2467,1422,4787,1463,4111,2019,2981,1244,2459,4481,116,4866,2481,983,0,3855,2186,2813,1033,643,2403,1956,3399,4873,3219,3022,6,4129,4624,2330,4826,3010,232,4509,926,2580,4185,3528,4041,357,2584,1302,4197,2471,1963,2144,1009,4120,154,3975,4526,2792,1146,2831,3848,4090,2560,1370,4173,2876,482,600,4219,947,1142,306,1789,1378,4847,16,4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW,2063,1521,784,2067,2475,2064,4040,3119,872,3725,3374,3988,1896,3244,249,222,4873,4601,277,2373,4898,1293,1124,4080,2837,1526,1067,3315,2427,826,1299,4629,1017,4914,1210,1627,1533,3106,3701,1404,210,3680,3063,1974,1741,1864,3746,4692,1065,0,4298,4953,3864,930,4131,413,3583,1395,4212,1394,4665,4381,3005,89,2844,2141,2987,3230,3688,3320,3172,3654,1120,1152,1547,562,944,1817,1038,266,631,1197,953,90,494,2925,2329,1426,3298,169,1387,4249,3774,3165,1647,4408,3792,3106,2660,139,3543,4695,2798,2689,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,3146,4888,3446,99,4652,2268,4984,3413,1980,1447,1576,4370,1985,708,1114,3858,2763,2446,2043,2196,55,2670,2017,339,107,1327,2595,3603,462,2059,4718,1599,3896,3295,2895,4063,373,426,2337,1494,1763,3124,920,1257,3592,4816,858,2736,632,3158,0,4296,1785,2258,4750,306,2715,2211,1145,2988,3410,1639,2071,1342,2180,459,3812,3066,3472,775,3879,2410,1713,788,3933,3334,2176,1668,3040,3553,3399,145,1689,3058,4660,3932,4113,3602,1081,847,3420,125,2097,1189,1815,2062,744,2978,1688,742,2465,4530,783,1898,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,4588,2765,575,4172,2749,2307,1666,668,1981,4299,1800,2875,4957,992,1229,1087,2871,88,1171,393,1391,4655,968,2434,4188,921,877,956,3882,1037,4247,3911,3119,1836,3898,1931,4824,3669,3279,4160,1907,4202,940,190,4263,2566,542,2909,2525,2710,3369,0,1900,3579,2938,158,2946,1372,1809,1024,1115,1690,1346,4029,3372,1307,1060,1979,572,3164,3479,4927,2432,2139,2437,88,595,1004,420,3872,1016,4154,138,1231,4607,3580,3412,3672,3261,3663,2386,297,1987,4244,406,3949,4618,3999,4177,1183,2828,689,2660,163,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,888,2064,1558,2200,663,2491,4777,4928,1346,2603,4709,1563,4236,3219,486,3829,3569,1024,4630,2180,968,683,3236,4693,331,1162,4257,2350,1079,1532,4172,2207,4980,3048,3510,315,2468,2086,3174,2761,2179,3706,139,2058,3602,3854,3325,1161,3832,2189,2172,648,0,2957,4694,2464,69,446,4168,4397,1362,2710,4568,3588,1573,1379,4944,4558,2350,2136,1189,4998,1511,1933,687,1112,1915,2223,3170,1257,4094,2673,1295,1905,1971,1689,4390,3990,2617,1857,2765,502,677,1586,1054,3828,702,2739,3817,988,4785,2554,1969,4907,2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,303,4169,302,316,2101,822,676,2991,3970,679,1170,890,3549,2528,442,4955,4245,3865,1620,1443,510,2808,4870,2948,3669,1202,739,4144,3647,1881,2080,1900,605,352,1109,4454,1109,2743,2692,2252,3938,4952,1237,3852,4421,768,465,2621,4619,4029,3461,2711,412,0,4061,510,3054,4115,1523,3077,909,1465,1630,4676,2727,2587,3331,1251,2078,658,3649,2429,4476,3149,3737,1160,1912,2678,2251,2563,3090,4403,1546,829,1993,2237,779,391,3231,3264,3117,1719,3315,641,1962,870,3083,1737,2014,382,2476,3936,4617,3205,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB,609,3271,1402,4612,83,4491,3028,3794,1217,1404,226,1690,3114,3478,1849,1033,2286,3707,2043,3349,3165,4424,3919,3770,4747,2320,3279,749,2667,2261,572,3242,3209,39,3635,2400,211,3553,2596,4532,418,4123,4901,4359,4772,142,2940,2566,557,1471,29,4988,3643,651,0,4293,3740,3363,1526,730,1699,4145,4609,2971,3571,1278,2289,3646,694,3815,1198,4845,4104,2508,1843,196,1035,2372,131,4944,494,4412,1699,2854,2363,4565,1084,269,906,4328,4101,4770,1053,78,1285,4865,1023,2493,1612,4776,553,2276,2479,1632,4887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC,1652,2998,3458,4781,4589,4400,4048,4594,3721,3395,1306,4227,3255,1608,3822,1459,4208,4928,4478,2227,2165,377,1142,2382,1229,397,1498,2712,4774,3775,1142,1239,597,928,3693,434,4475,1439,3323,1109,4196,3088,1441,3928,3274,1970,3772,3439,3279,4117,2712,2320,1393,1471,4584,0,1166,907,3515,2081,4733,3153,928,37,2043,1221,3808,3965,3403,2555,3292,3281,3206,4865,2392,1193,3289,743,1460,4589,4157,2486,2668,4767,1238,4437,3741,3408,2119,4268,1000,1774,475,2550,2954,1421,3240,3606,1188,1565,4984,282,969,481,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,2126,425,3824,3268,3010,1060,3336,259,12,272,3595,2150,4070,4780,1767,572,4118,2594,2232,1606,3949,3879,1933,3956,4350,2550,2840,2159,502,4493,4449,3750,4569,2489,583,2850,2849,2523,3569,4242,3885,2055,440,1442,3328,2046,4356,2423,4022,1785,295,498,4943,3079,4345,2438,0,2033,1904,587,1027,1288,888,4538,4296,902,2227,119,521,2345,3968,1634,4884,3536,3568,4758,3330,4305,903,236,1854,1486,2557,2251,3682,3687,456,3670,823,2714,4794,3921,1977,4313,1033,1317,3684,3534,1711,1060,3473,3071,2501,4675,2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
